CaseStudyID	UKPRN
8850	10007774
8852	10007774
8853	10007774
8854	10007774
8855	10007774
8856	10007774
8857	10007774
8858	10007774
8859	10007774
8860	10007774
8861	10007774
8862	10007774
8863	10007774
8864	10007774
8865	10007774
9034	10004930
9035	10007157
9036	10007157
9040	10007788
9041	10004930
9042	10007788
9043	10007788
9044	10007788
9045	10007788
9046	10004930
9047	10004930
9048	10007788
9049	10007788
9052	10004351
9053	10004351
9054	10004351
9055	10004351
9144	10000975
9149	10001883
9150	10001883
9152	10007157
9153	10007157
9154	10007157
9160	10007788
9164	10007788
9228	10007788
9235	10007788
9439	10007157
9440	10007157
9441	10007157
9442	10007157
9447	10007157
9449	10007157
9450	10007155
9499	10007157
9500	10007157
9501	10007157
9502	10007157
9503	10007802
9507	10007774
9508	10007851
9509	10007774
9513	10004930
9517	10004930
9518	10004930
9535	10007774
9536	10007774
9537	10007774
9538	10007774
9539	10007774
9540	10007774
9541	10000291
9740	10000291
9741	10004930
9866	10004930
9952	10007156
10262	10001883
10378	10007774
10465	10007774
10492	10007774
10806	10004930
10807	10007155
10808	10007795
10810	10007155
10813	10007155
10814	10004930
10815	10007155
10816	10004930
10897	10007155
10898	10007155
10899	10004930
11015	10007166
11090	10007166
11095	10007774
11269	10007774
11430	10007774
11431	10004930
11434	10007774
11435	10007774
11524	10000975
11525	10001883
11526	10001883
11527	10001883
11610	10007166
11660	10004930
11662	10004930
11749	10007773
11755	10007773
11763	10007143
11764	10007143
11765	10007143
11766	10007143
11767	10007143
11768	10007143
11769	10007143
11770	10007143
11771	10007143
11772	10007143
11773	10007143
11774	10007143
11775	10007143
11776	10007143
11777	10007143
11778	10007143
11779	10007143
11780	10007143
11781	10007143
11782	10007143
11783	10007143
11784	10007143
11785	10007143
11786	10007143
11787	10007143
11795	10007143
11796	10007143
11797	10007143
11798	10007143
11799	10007143
11800	10007143
11801	10007143
11802	10007143
11803	10007143
11804	10007143
11805	10007143
11806	10007143
11807	10007143
11808	10007143
11809	10007143
11810	10007143
11811	10007143
11812	10007143
11813	10007143
11814	10007143
11815	10007143
11816	10007143
11817	10007143
11818	10007143
11819	10007143
11820	10007143
11821	10007143
11822	10007143
11823	10007143
11824	10007143
11825	10007143
11826	10007143
11827	10007143
11828	10007143
11829	10007143
11832	10007143
11833	10007143
11834	10007143
11835	10007143
11836	10007143
11837	10007143
11838	10007143
11839	10007143
11840	10007143
11841	10007143
11842	10007143
11843	10007143
11844	10007143
11845	10007143
11846	10007143
11847	10007143
11848	10007157
11849	10007157
11850	10007157
11852	10007157
11853	10007157
11854	10007157
11855	10003956
11945	10000961
11946	10000961
11947	10000961
11954	10000961
11958	10000961
11971	10000961
11976	10000961
12012	10007157
12014	10007157
12076	10000961
12077	10007851
12078	10007155
12080	10007157
12081	10007157
12085	10004930
12088	10000961
12092	10000961
12093	10000961
12094	10007157
12095	10007157
12096	10007157
12097	10007157
12098	10000961
12099	10007157
12100	10007157
12101	10007157
12102	10007157
12103	10000975
12104	10000975
12153	10007157
12154	10007157
12155	10007157
12156	10007157
12157	10007157
12158	10007157
12159	10007157
12160	10007157
12161	10007157
12210	10007157
12211	10007157
12212	10007157
12213	10007157
12214	10004930
12216	10000975
12218	10007157
12219	10007157
12220	10007157
12222	10007157
12223	10007157
12224	10007157
12225	10007157
12227	10007157
12228	10007157
12229	10007157
12230	10007157
12231	10007157
12232	10000961
12233	10007157
12234	10007157
12235	10007157
12237	10000975
12327	10007157
12328	10007157
12329	10007157
12330	10007157
12331	10007157
12332	10007157
12333	10007157
12379	10004930
12388	10004113
12389	10004113
12394	10000961
12395	10004113
12396	10000961
12397	10000961
12402	10004113
12403	10004113
12404	10004113
12407	10004930
12521	10000961
12522	10000961
12523	10000961
12524	10000961
12525	10004930
12529	10004930
12530	10004797
12531	10004797
12587	10007166
12700	10004797
12701	10000961
12702	10004797
12911	10007166
12998	10007143
12999	10007143
13048	10007822
13049	10000961
13050	10001883
13053	10000961
13189	10003956
13190	10003956
13191	10007165
13192	10007165
13193	10003956
13194	10003956
13196	10007788
13197	10007788
13200	10007788
13201	10007788
13202	10007788
13203	10007788
13513	10000961
13605	10003614
13739	10007788
13746	10007788
13747	10007788
13748	10007788
13749	10000961
13750	10000961
13751	10003956
13764	10000961
13776	10000961
13781	10008017
13783	10000961
13784	10008017
13791	10000961
13826	10007157
